Year,SEX,AREA,AGE,Value
2013,Male,Palestine,All age ranges or no breakdown by age,6.4
2014,Male,Palestine,All age ranges or no breakdown by age,6.8
2015,Male,Palestine,All age ranges or no breakdown by age,8.3
2016,Male,Palestine,All age ranges or no breakdown by age,7.3
2017,Male,Palestine,All age ranges or no breakdown by age,6.6
2018,Male,Palestine,All age ranges or no breakdown by age,
2000,Male,Palestine,10 to 14 years old,
2001,Male,Palestine,10 to 14 years old,
2002,Male,Palestine,10 to 14 years old,
2003,Male,Palestine,10 to 14 years old,
2004,Male,Palestine,10 to 14 years old,
2005,Male,Palestine,10 to 14 years old,
2006,Male,Palestine,10 to 14 years old,
2007,Male,Palestine,10 to 14 years old,
2008,Male,Palestine,10 to 14 years old,
2009,Male,Palestine,10 to 14 years old,
2010,Male,Palestine,10 to 14 years old,
2011,Male,Palestine,10 to 14 years old,
2012,Male,Palestine,10 to 14 years old,
2013,Male,Palestine,10 to 14 years old,
2014,Male,Palestine,10 to 14 years old,
2015,Male,Palestine,10 to 14 years old,
2016,Male,Palestine,10 to 14 years old,
2017,Male,Palestine,10 to 14 years old,
2018,Male,Palestine,10 to 14 years old,
2000,Male,Palestine,10 to 17 years old,7.9
2001,Male,Palestine,10 to 17 years old,4.2
2002,Male,Palestine,10 to 17 years old,2.9
2003,Male,Palestine,10 to 17 years old,4.7
2004,Male,Palestine,10 to 17 years old,4.1
2005,Male,Palestine,10 to 17 years old,5.2
2006,Male,Palestine,10 to 17 years old,7.4
2007,Male,Palestine,10 to 17 years old,7.8
2008,Male,Palestine,10 to 17 years old,6.4
2009,Male,Palestine,10 to 17 years old,6.4
2010,Male,Palestine,10 to 17 years old,6.2
2011,Male,Palestine,10 to 17 years old,7.4
2012,Male,Palestine,10 to 17 years old,7.4
2013,Male,Palestine,10 to 17 years old,6.4
2014,Male,Palestine,10 to 17 years old,6.8
2015,Male,Palestine,10 to 17 years old,8.3
2016,Male,Palestine,10 to 17 years old,7.3
2017,Male,Palestine,10 to 17 years old,6.6
2018,Male,Palestine,10 to 17 years old,5.5
2000,Male,Palestine,15 to 17 years old,
2001,Male,Palestine,15 to 17 years old,
2002,Male,Palestine,15 to 17 years old,
2003,Male,Palestine,15 to 17 years old,
2004,Male,Palestine,15 to 17 years old,
2005,Male,Palestine,15 to 17 years old,
2006,Male,Palestine,15 to 17 years old,
2007,Male,Palestine,15 to 17 years old,
2008,Male,Palestine,15 to 17 years old,
2009,Male,Palestine,15 to 17 years old,
2010,Male,Palestine,15 to 17 years old,
2011,Male,Palestine,15 to 17 years old,
2012,Male,Palestine,15 to 17 years old,
2013,Male,Palestine,15 to 17 years old,
2014,Male,Palestine,15 to 17 years old,
2015,Male,Palestine,15 to 17 years old,
2016,Male,Palestine,15 to 17 years old,
2017,Male,Palestine,15 to 17 years old,
2018,Male,Palestine,15 to 17 years old,
2000,Female,West Bank,All age ranges or no breakdown by age,
2001,Female,West Bank,All age ranges or no breakdown by age,
2002,Female,West Bank,All age ranges or no breakdown by age,
2003,Female,West Bank,All age ranges or no breakdown by age,
2004,Female,West Bank,All age ranges or no breakdown by age,
2005,Female,West Bank,All age ranges or no breakdown by age,
2006,Female,West Bank,All age ranges or no breakdown by age,
2007,Female,West Bank,All age ranges or no breakdown by age,
2008,Female,West Bank,All age ranges or no breakdown by age,
2009,Female,West Bank,All age ranges or no breakdown by age,
2010,Female,West Bank,All age ranges or no breakdown by age,
2011,Female,West Bank,All age ranges or no breakdown by age,
2012,Female,West Bank,All age ranges or no breakdown by age,
2013,Female,West Bank,All age ranges or no breakdown by age,
2014,Female,West Bank,All age ranges or no breakdown by age,
2015,Female,West Bank,All age ranges or no breakdown by age,
2016,Female,West Bank,All age ranges or no breakdown by age,
2017,Female,West Bank,All age ranges or no breakdown by age,
2018,Female,West Bank,All age ranges or no breakdown by age,
2000,Female,West Bank,10 to 14 years old,
2001,Female,West Bank,10 to 14 years old,
2002,Female,West Bank,10 to 14 years old,
2003,Female,West Bank,10 to 14 years old,
2004,Female,West Bank,10 to 14 years old,
2005,Female,West Bank,10 to 14 years old,
2006,Female,West Bank,10 to 14 years old,
2007,Female,West Bank,10 to 14 years old,
2008,Female,West Bank,10 to 14 years old,
2009,Female,West Bank,10 to 14 years old,
2010,Female,West Bank,10 to 14 years old,
2011,Female,West Bank,10 to 14 years old,
2012,Female,West Bank,10 to 14 years old,
2013,Female,West Bank,10 to 14 years old,
2014,Female,West Bank,10 to 14 years old,
2015,Female,West Bank,10 to 14 years old,
2016,Female,West Bank,10 to 14 years old,
2017,Female,West Bank,10 to 14 years old,
2018,Female,West Bank,10 to 14 years old,
2000,Female,West Bank,10 to 17 years old,
2001,Female,West Bank,10 to 17 years old,
2002,Female,West Bank,10 to 17 years old,
2003,Female,West Bank,10 to 17 years old,
2004,Female,West Bank,10 to 17 years old,
2005,Female,West Bank,10 to 17 years old,
2006,Female,West Bank,10 to 17 years old,
2007,Female,West Bank,10 to 17 years old,
2008,Female,West Bank,10 to 17 years old,
2009,Female,West Bank,10 to 17 years old,
2010,Female,West Bank,10 to 17 years old,
2011,Female,West Bank,10 to 17 years old,
2012,Female,West Bank,10 to 17 years old,
2013,Female,West Bank,10 to 17 years old,
2014,Female,West Bank,10 to 17 years old,
2015,Female,West Bank,10 to 17 years old,
2016,Female,West Bank,10 to 17 years old,
2017,Female,West Bank,10 to 17 years old,
2018,Female,West Bank,10 to 17 years old,
2000,Female,West Bank,15 to 17 years old,
2001,Female,West Bank,15 to 17 years old,
2002,Female,West Bank,15 to 17 years old,
2003,Female,West Bank,15 to 17 years old,
2004,Female,West Bank,15 to 17 years old,
2005,Female,West Bank,15 to 17 years old,
2006,Female,West Bank,15 to 17 years old,
2007,Female,West Bank,15 to 17 years old,
2008,Female,West Bank,15 to 17 years old,
2009,Female,West Bank,15 to 17 years old,
2010,Female,West Bank,15 to 17 years old,
2011,Female,West Bank,15 to 17 years old,
2012,Female,West Bank,15 to 17 years old,
2013,Female,West Bank,15 to 17 years old,
2014,Female,West Bank,15 to 17 years old,
2015,Female,West Bank,15 to 17 years old,
2016,Female,West Bank,15 to 17 years old,
2017,Female,West Bank,15 to 17 years old,
2018,Female,West Bank,15 to 17 years old,
2000,Female,Gaza Strip,All age ranges or no breakdown by age,
2001,Female,Gaza Strip,All age ranges or no breakdown by age,
2002,Female,Gaza Strip,All age ranges or no breakdown by age,
2003,Female,Gaza Strip,All age ranges or no breakdown by age,
2004,Female,Gaza Strip,All age ranges or no breakdown by age,
2005,Female,Gaza Strip,All age ranges or no breakdown by age,
2006,Female,Gaza Strip,All age ranges or no breakdown by age,
2007,Female,Gaza Strip,All age ranges or no breakdown by age,
2008,Female,Gaza Strip,All age ranges or no breakdown by age,
2009,Female,Gaza Strip,All age ranges or no breakdown by age,
2010,Female,Gaza Strip,All age ranges or no breakdown by age,
2011,Female,Gaza Strip,All age ranges or no breakdown by age,
2012,Female,Gaza Strip,All age ranges or no breakdown by age,
2013,Female,Gaza Strip,All age ranges or no breakdown by age,
2014,Female,Gaza Strip,All age ranges or no breakdown by age,
2015,Female,Gaza Strip,All age ranges or no breakdown by age,
2016,Female,Gaza Strip,All age ranges or no breakdown by age,
2017,Female,Gaza Strip,All age ranges or no breakdown by age,
2018,Female,Gaza Strip,All age ranges or no breakdown by age,
2000,Female,Gaza Strip,10 to 14 years old,
2001,Female,Gaza Strip,10 to 14 years old,
2002,Female,Gaza Strip,10 to 14 years old,
2003,Female,Gaza Strip,10 to 14 years old,
2004,Female,Gaza Strip,10 to 14 years old,
2005,Female,Gaza Strip,10 to 14 years old,
2006,Female,Gaza Strip,10 to 14 years old,
2007,Female,Gaza Strip,10 to 14 years old,
2008,Female,Gaza Strip,10 to 14 years old,
2009,Female,Gaza Strip,10 to 14 years old,
2010,Female,Gaza Strip,10 to 14 years old,
2011,Female,Gaza Strip,10 to 14 years old,
2012,Female,Gaza Strip,10 to 14 years old,
2013,Female,Gaza Strip,10 to 14 years old,
2014,Female,Gaza Strip,10 to 14 years old,
2015,Female,Gaza Strip,10 to 14 years old,
2016,Female,Gaza Strip,10 to 14 years old,
2017,Female,Gaza Strip,10 to 14 years old,
2018,Female,Gaza Strip,10 to 14 years old,
2000,Female,Gaza Strip,10 to 17 years old,
2001,Female,Gaza Strip,10 to 17 years old,
2002,Female,Gaza Strip,10 to 17 years old,
2003,Female,Gaza Strip,10 to 17 years old,
2004,Female,Gaza Strip,10 to 17 years old,
2005,Female,Gaza Strip,10 to 17 years old,
2006,Female,Gaza Strip,10 to 17 years old,
2007,Female,Gaza Strip,10 to 17 years old,
2008,Female,Gaza Strip,10 to 17 years old,
2009,Female,Gaza Strip,10 to 17 years old,
2010,Female,Gaza Strip,10 to 17 years old,
2011,Female,Gaza Strip,10 to 17 years old,
2012,Female,Gaza Strip,10 to 17 years old,
2013,Female,Gaza Strip,10 to 17 years old,
2014,Female,Gaza Strip,10 to 17 years old,
2015,Female,Gaza Strip,10 to 17 years old,
2016,Female,Gaza Strip,10 to 17 years old,
2017,Female,Gaza Strip,10 to 17 years old,
2018,Female,Gaza Strip,10 to 17 years old,
2000,Female,Gaza Strip,15 to 17 years old,
2001,Female,Gaza Strip,15 to 17 years old,
2002,Female,Gaza Strip,15 to 17 years old,
2003,Female,Gaza Strip,15 to 17 years old,
2004,Female,Gaza Strip,15 to 17 years old,
2005,Female,Gaza Strip,15 to 17 years old,
2006,Female,Gaza Strip,15 to 17 years old,
2007,Female,Gaza Strip,15 to 17 years old,
2008,Female,Gaza Strip,15 to 17 years old,
2009,Female,Gaza Strip,15 to 17 years old,
2010,Female,Gaza Strip,15 to 17 years old,
2011,Female,Gaza Strip,15 to 17 years old,
2012,Female,Gaza Strip,15 to 17 years old,
2013,Female,Gaza Strip,15 to 17 years old,
2014,Female,Gaza Strip,15 to 17 years old,
2015,Female,Gaza Strip,15 to 17 years old,
2016,Female,Gaza Strip,15 to 17 years old,
2017,Female,Gaza Strip,15 to 17 years old,
2018,Female,Gaza Strip,15 to 17 years old,
2000,Female,Palestine,All age ranges or no breakdown by age,0.7
2001,Female,Palestine,All age ranges or no breakdown by age,0.2
2002,Female,Palestine,All age ranges or no breakdown by age,0.3
2003,Female,Palestine,All age ranges or no breakdown by age,0.6
2004,Female,Palestine,All age ranges or no breakdown by age,0.4
2005,Female,Palestine,All age ranges or no breakdown by age,0.6
2006,Female,Palestine,All age ranges or no breakdown by age,1.4
2007,Female,Palestine,All age ranges or no breakdown by age,1.3
2008,Female,Palestine,All age ranges or no breakdown by age,1.0
2009,Female,Palestine,All age ranges or no breakdown by age,0.8
2010,Female,Palestine,All age ranges or no breakdown by age,1.1
2011,Female,Palestine,All age ranges or no breakdown by age,0.8
2012,Female,Palestine,All age ranges or no breakdown by age,0.6
2013,Female,Palestine,All age ranges or no breakdown by age,0.3
2014,Female,Palestine,All age ranges or no breakdown by age,0.3
2015,Female,Palestine,All age ranges or no breakdown by age,0.4
2016,Female,Palestine,All age ranges or no breakdown by age,0.3
2017,Female,Palestine,All age ranges or no breakdown by age,0.1
2018,Female,Palestine,All age ranges or no breakdown by age,
2000,Female,Palestine,10 to 14 years old,
2001,Female,Palestine,10 to 14 years old,
2002,Female,Palestine,10 to 14 years old,
2003,Female,Palestine,10 to 14 years old,
2004,Female,Palestine,10 to 14 years old,
2005,Female,Palestine,10 to 14 years old,
2006,Female,Palestine,10 to 14 years old,
2007,Female,Palestine,10 to 14 years old,
2008,Female,Palestine,10 to 14 years old,
2009,Female,Palestine,10 to 14 years old,
2010,Female,Palestine,10 to 14 years old,
2011,Female,Palestine,10 to 14 years old,
2012,Female,Palestine,10 to 14 years old,
2013,Female,Palestine,10 to 14 years old,
2014,Female,Palestine,10 to 14 years old,
2015,Female,Palestine,10 to 14 years old,
2016,Female,Palestine,10 to 14 years old,
2017,Female,Palestine,10 to 14 years old,
2018,Female,Palestine,10 to 14 years old,
2000,Female,Palestine,10 to 17 years old,0.7
2001,Female,Palestine,10 to 17 years old,0.2
2002,Female,Palestine,10 to 17 years old,0.3
2003,Female,Palestine,10 to 17 years old,0.6
2004,Female,Palestine,10 to 17 years old,0.4
2005,Female,Palestine,10 to 17 years old,0.6
2006,Female,Palestine,10 to 17 years old,1.4
2007,Female,Palestine,10 to 17 years old,1.3
2008,Female,Palestine,10 to 17 years old,1.0
2009,Female,Palestine,10 to 17 years old,0.8
2010,Female,Palestine,10 to 17 years old,1.1
2011,Female,Palestine,10 to 17 years old,0.8
2012,Female,Palestine,10 to 17 years old,0.6
2013,Female,Palestine,10 to 17 years old,0.3
2014,Female,Palestine,10 to 17 years old,0.3
2015,Female,Palestine,10 to 17 years old,0.4
2016,Female,Palestine,10 to 17 years old,0.3
2017,Female,Palestine,10 to 17 years old,0.1
2018,Female,Palestine,10 to 17 years old,0.2
2000,Female,Palestine,15 to 17 years old,
2001,Female,Palestine,15 to 17 years old,
2002,Female,Palestine,15 to 17 years old,
2003,Female,Palestine,15 to 17 years old,
2004,Female,Palestine,15 to 17 years old,
2005,Female,Palestine,15 to 17 years old,
2006,Female,Palestine,15 to 17 years old,
2007,Female,Palestine,15 to 17 years old,
2008,Female,Palestine,15 to 17 years old,
2009,Female,Palestine,15 to 17 years old,
2010,Female,Palestine,15 to 17 years old,
2011,Female,Palestine,15 to 17 years old,
2012,Female,Palestine,15 to 17 years old,
2013,Female,Palestine,15 to 17 years old,
2014,Female,Palestine,15 to 17 years old,
2015,Female,Palestine,15 to 17 years old,
2016,Female,Palestine,15 to 17 years old,
2017,Female,Palestine,15 to 17 years old,
2018,Female,Palestine,15 to 17 years old,
2000,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,5.3
2001,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,2.6
2002,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,2.0
2003,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,3.2
2004,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,2.9
2005,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,3.8
2006,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,6.5
2007,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,6.5
2008,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,5.2
2009,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,5.4
2010,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,5.6
2011,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,5.7
2012,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,5.7
2013,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,4.7
2014,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,5.2
2015,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,5.6
2016,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,5.2
2017,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,4.6
2018,Both sexes or no breakdown by sex,West Bank,All age ranges or no breakdown by age,
2000,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2001,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2002,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2003,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2004,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2005,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2006,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2007,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2008,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2009,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2010,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2011,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2012,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2013,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2014,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2015,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2016,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2017,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2018,Both sexes or no breakdown by sex,West Bank,10 to 14 years old,
2000,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,5.3
2001,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,2.6
2002,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,2.0
2003,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,3.2
2004,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,2.9
2005,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,3.8
2006,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,6.5
2007,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,6.5
2008,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,5.2
2009,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,5.4
2010,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,5.6
2011,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,5.7
2012,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,5.7
2013,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,4.7
2014,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,5.2
2015,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,5.6
2016,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,5.2
2017,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,4.6
2018,Both sexes or no breakdown by sex,West Bank,10 to 17 years old,4.0
2000,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2001,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2002,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2003,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2004,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2005,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2006,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2007,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2008,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2009,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2010,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2011,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2012,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2013,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2014,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2015,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2016,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2017,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2018,Both sexes or no breakdown by sex,West Bank,15 to 17 years old,
2000,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,2.7
2001,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,1.5
2002,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,1.0
2003,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,1.8
2004,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,1.3
2005,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,1.4
2006,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,1.1
2007,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,1.5
2008,Both sexes or no breakdown by sex,Gaza Strip,All age ranges or no breakdown by age,1.2
