Year,SEX,AREA,Series,Value
2018,Male,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",70.8
2019,Male,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",72.4
2002,Female,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2006,Female,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2009,Female,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2012,Female,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2015,Female,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2017,Female,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2018,Female,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2019,Female,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2002,Female,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2006,Female,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2009,Female,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2012,Female,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2015,Female,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2017,Female,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2018,Female,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2019,Female,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2002,Female,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2006,Female,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2009,Female,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2012,Female,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2015,Female,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2017,Female,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",70.2
2018,Female,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",73.4
2019,Female,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",72.2
2002,,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2006,,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2009,,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2012,,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2015,,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2017,,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2018,,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2019,,West Bank,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",77.1
2002,,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2006,,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2009,,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2012,,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2015,,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2017,,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2018,,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2019,,Gaza Strip,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",66.1
2002,,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2006,,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2009,,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2012,,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2015,,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",
2017,,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",70.3
2018,,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",72.0
2019,,Palestine,"Participation rate in organized learning (one year before the official primary entry age), by sex (%) by SEX, AREA and TIME PERIOD",72.3
