Year,URBANISATION,SEX,AREA,Series,Value
2013,Urban,Male,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Male,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Urban,Male,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Urban,Male,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Male,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Urban,Male,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Urban,Male,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Male,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Urban,Female,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Urban,Female,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Female,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Urban,Female,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Urban,Female,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Female,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Urban,Female,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Urban,Female,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Female,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Urban,,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Urban,,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Urban,,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Urban,,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Urban,,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Urban,,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",2.2
2010,Rural,Male,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Rural,Male,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Male,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Rural,Male,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Rural,Male,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Male,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Rural,Male,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Rural,Male,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Male,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Rural,Female,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Rural,Female,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Female,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Rural,Female,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Rural,Female,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Female,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Rural,Female,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Rural,Female,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Female,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Rural,,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Rural,,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Rural,,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Rural,,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Rural,,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Rural,,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",1.5
2010,Camp,Male,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Camp,Male,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Male,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Camp,Male,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Camp,Male,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Male,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Camp,Male,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Camp,Male,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Male,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Camp,Female,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Camp,Female,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Female,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Camp,Female,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Camp,Female,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Female,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Camp,Female,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Camp,Female,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Female,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Camp,,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Camp,,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,,West Bank,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Camp,,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Camp,,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,,Gaza Strip,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2010,Camp,,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2013,Camp,,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,,Palestine,"Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months by URBANISATION, SEX, AREA and TIME PERIOD",2.2
