Year,SEX,AREA,Series,Value
2016,Female,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3612.0
2017,Female,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3612.0
2018,Female,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3612.0
2006,Female,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4645.5
2007,Female,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4645.5
2008,Female,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4645.5
2009,Female,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4645.5
2010,Female,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4645.5
2011,Female,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4645.5
2012,Female,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4645.5
2013,Female,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4645.5
2014,Female,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4645.5
2015,Female,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4645.5
2016,Female,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4645.5
2017,Female,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4645.5
2018,Female,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4645.5
2006,Female,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2007,Female,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2008,Female,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2009,Female,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2010,Female,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2011,Female,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2012,Female,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2013,Female,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2014,Female,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2015,Female,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2016,Female,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2017,Female,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2018,Female,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",
2006,,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2739.9
2007,,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2710.7
2008,,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",2620.3
2009,,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3026.6
2010,,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3276.5
2011,,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3226.3
2012,,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3380.6
2013,,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3612.0
2014,,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4614.9
2015,,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4496.1
2016,,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4645.5
2017,,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4777.2
2018,,Palestine,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4527.7
2006,,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3026.6
2007,,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3026.6
2008,,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3026.6
2009,,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3026.6
2010,,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3026.6
2011,,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3026.6
2012,,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3026.6
2013,,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3026.6
2014,,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3026.6
2015,,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3026.6
2016,,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3026.6
2017,,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3026.6
2018,,Jenin,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3026.6
2006,,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3380.6
2007,,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3380.6
2008,,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3380.6
2009,,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3380.6
2010,,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3380.6
2011,,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3380.6
2012,,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3380.6
2013,,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3380.6
2014,,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3380.6
2015,,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3380.6
2016,,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3380.6
2017,,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3380.6
2018,,Tubas & Northern Valleys,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",3380.6
2006,,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4496.1
2007,,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4496.1
2008,,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4496.1
2009,,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4496.1
2010,,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4496.1
2011,,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4496.1
2012,,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4496.1
2013,,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4496.1
2014,,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4496.1
2015,,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4496.1
2016,,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4496.1
2017,,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4496.1
2018,,Tulkarm,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4496.1
2006,,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4527.7
2007,,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4527.7
2008,,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4527.7
2009,,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4527.7
2010,,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4527.7
2011,,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4527.7
2012,,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4527.7
2013,,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4527.7
2014,,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4527.7
2015,,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4527.7
2016,,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4527.7
2017,,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4527.7
2018,,Nablus,"Total greenhouse gas emissions per year (1000 ton CO2 eq) by SEX, AREA and TIME PERIOD",4527.7
