Year,SEX,AREA,OCCUPATION,Value
2017,Male,West Bank,Technicians and associate professionals,
2018,Male,West Bank,Technicians and associate professionals,
2019,Male,West Bank,Technicians and associate professionals,
2020,Male,West Bank,Technicians and associate professionals,
2021,Male,West Bank,Technicians and associate professionals,
2000,Male,West Bank,Service and sales workers,
2001,Male,West Bank,Service and sales workers,
2002,Male,West Bank,Service and sales workers,
2003,Male,West Bank,Service and sales workers,
2004,Male,West Bank,Service and sales workers,
2005,Male,West Bank,Service and sales workers,
2006,Male,West Bank,Service and sales workers,
2007,Male,West Bank,Service and sales workers,
2008,Male,West Bank,Service and sales workers,
2009,Male,West Bank,Service and sales workers,
2010,Male,West Bank,Service and sales workers,
2011,Male,West Bank,Service and sales workers,
2012,Male,West Bank,Service and sales workers,
2013,Male,West Bank,Service and sales workers,
2014,Male,West Bank,Service and sales workers,
2015,Male,West Bank,Service and sales workers,
2016,Male,West Bank,Service and sales workers,
2017,Male,West Bank,Service and sales workers,
2018,Male,West Bank,Service and sales workers,
2019,Male,West Bank,Service and sales workers,
2020,Male,West Bank,Service and sales workers,
2021,Male,West Bank,Service and sales workers,
2000,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2001,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2002,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2003,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2004,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2005,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2006,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2007,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2008,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2009,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2010,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2011,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2012,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2013,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2014,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2015,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2016,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2017,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2018,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2019,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2020,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2021,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
2000,Male,West Bank,Craft and related trades workers,
2001,Male,West Bank,Craft and related trades workers,
2002,Male,West Bank,Craft and related trades workers,
2003,Male,West Bank,Craft and related trades workers,
2004,Male,West Bank,Craft and related trades workers,
2005,Male,West Bank,Craft and related trades workers,
2006,Male,West Bank,Craft and related trades workers,
2007,Male,West Bank,Craft and related trades workers,
2008,Male,West Bank,Craft and related trades workers,
2009,Male,West Bank,Craft and related trades workers,
2010,Male,West Bank,Craft and related trades workers,
2011,Male,West Bank,Craft and related trades workers,
2012,Male,West Bank,Craft and related trades workers,
2013,Male,West Bank,Craft and related trades workers,
2014,Male,West Bank,Craft and related trades workers,
2015,Male,West Bank,Craft and related trades workers,
2016,Male,West Bank,Craft and related trades workers,
2017,Male,West Bank,Craft and related trades workers,
2018,Male,West Bank,Craft and related trades workers,
2019,Male,West Bank,Craft and related trades workers,
2020,Male,West Bank,Craft and related trades workers,
2021,Male,West Bank,Craft and related trades workers,
2000,Male,West Bank,"Plant and machine operators, and assemblers",
2001,Male,West Bank,"Plant and machine operators, and assemblers",
2002,Male,West Bank,"Plant and machine operators, and assemblers",
2003,Male,West Bank,"Plant and machine operators, and assemblers",
2004,Male,West Bank,"Plant and machine operators, and assemblers",
2005,Male,West Bank,"Plant and machine operators, and assemblers",
2006,Male,West Bank,"Plant and machine operators, and assemblers",
2007,Male,West Bank,"Plant and machine operators, and assemblers",
2008,Male,West Bank,"Plant and machine operators, and assemblers",
2009,Male,West Bank,"Plant and machine operators, and assemblers",
2010,Male,West Bank,"Plant and machine operators, and assemblers",
2011,Male,West Bank,"Plant and machine operators, and assemblers",
2012,Male,West Bank,"Plant and machine operators, and assemblers",
2013,Male,West Bank,"Plant and machine operators, and assemblers",
2014,Male,West Bank,"Plant and machine operators, and assemblers",
2015,Male,West Bank,"Plant and machine operators, and assemblers",
2016,Male,West Bank,"Plant and machine operators, and assemblers",
2017,Male,West Bank,"Plant and machine operators, and assemblers",
2018,Male,West Bank,"Plant and machine operators, and assemblers",
2019,Male,West Bank,"Plant and machine operators, and assemblers",
2020,Male,West Bank,"Plant and machine operators, and assemblers",
2021,Male,West Bank,"Plant and machine operators, and assemblers",
2000,Male,West Bank,Elementary occupations,
2001,Male,West Bank,Elementary occupations,
2002,Male,West Bank,Elementary occupations,
2003,Male,West Bank,Elementary occupations,
2004,Male,West Bank,Elementary occupations,
2005,Male,West Bank,Elementary occupations,
2006,Male,West Bank,Elementary occupations,
2007,Male,West Bank,Elementary occupations,
2008,Male,West Bank,Elementary occupations,
2009,Male,West Bank,Elementary occupations,
2010,Male,West Bank,Elementary occupations,
2011,Male,West Bank,Elementary occupations,
2012,Male,West Bank,Elementary occupations,
2013,Male,West Bank,Elementary occupations,
2014,Male,West Bank,Elementary occupations,
2015,Male,West Bank,Elementary occupations,
2016,Male,West Bank,Elementary occupations,
2017,Male,West Bank,Elementary occupations,
2018,Male,West Bank,Elementary occupations,
2019,Male,West Bank,Elementary occupations,
2020,Male,West Bank,Elementary occupations,
2021,Male,West Bank,Elementary occupations,
2000,Male,West Bank,"Legislators, senior officials and managers",
2001,Male,West Bank,"Legislators, senior officials and managers",
2002,Male,West Bank,"Legislators, senior officials and managers",
2003,Male,West Bank,"Legislators, senior officials and managers",
2004,Male,West Bank,"Legislators, senior officials and managers",
2005,Male,West Bank,"Legislators, senior officials and managers",
2006,Male,West Bank,"Legislators, senior officials and managers",
2007,Male,West Bank,"Legislators, senior officials and managers",
2008,Male,West Bank,"Legislators, senior officials and managers",
2009,Male,West Bank,"Legislators, senior officials and managers",
2010,Male,West Bank,"Legislators, senior officials and managers",
2011,Male,West Bank,"Legislators, senior officials and managers",
2012,Male,West Bank,"Legislators, senior officials and managers",
2013,Male,West Bank,"Legislators, senior officials and managers",
2014,Male,West Bank,"Legislators, senior officials and managers",
2015,Male,West Bank,"Legislators, senior officials and managers",
2016,Male,West Bank,"Legislators, senior officials and managers",
2017,Male,West Bank,"Legislators, senior officials and managers",
2018,Male,West Bank,"Legislators, senior officials and managers",
2019,Male,West Bank,"Legislators, senior officials and managers",
2020,Male,West Bank,"Legislators, senior officials and managers",
2021,Male,West Bank,"Legislators, senior officials and managers",
2000,Male,Gaza Strip,Total or no breakdown by Occupation,
2001,Male,Gaza Strip,Total or no breakdown by Occupation,
2002,Male,Gaza Strip,Total or no breakdown by Occupation,
2003,Male,Gaza Strip,Total or no breakdown by Occupation,
2004,Male,Gaza Strip,Total or no breakdown by Occupation,
2005,Male,Gaza Strip,Total or no breakdown by Occupation,
2006,Male,Gaza Strip,Total or no breakdown by Occupation,
2007,Male,Gaza Strip,Total or no breakdown by Occupation,
2008,Male,Gaza Strip,Total or no breakdown by Occupation,
2009,Male,Gaza Strip,Total or no breakdown by Occupation,
2010,Male,Gaza Strip,Total or no breakdown by Occupation,
2011,Male,Gaza Strip,Total or no breakdown by Occupation,
2012,Male,Gaza Strip,Total or no breakdown by Occupation,
2013,Male,Gaza Strip,Total or no breakdown by Occupation,
2014,Male,Gaza Strip,Total or no breakdown by Occupation,
2015,Male,Gaza Strip,Total or no breakdown by Occupation,
2016,Male,Gaza Strip,Total or no breakdown by Occupation,
2017,Male,Gaza Strip,Total or no breakdown by Occupation,
2018,Male,Gaza Strip,Total or no breakdown by Occupation,
2019,Male,Gaza Strip,Total or no breakdown by Occupation,
2020,Male,Gaza Strip,Total or no breakdown by Occupation,
2021,Male,Gaza Strip,Total or no breakdown by Occupation,
2000,Male,Gaza Strip,Technicians and associate professionals,
2001,Male,Gaza Strip,Technicians and associate professionals,
2002,Male,Gaza Strip,Technicians and associate professionals,
2003,Male,Gaza Strip,Technicians and associate professionals,
2004,Male,Gaza Strip,Technicians and associate professionals,
2005,Male,Gaza Strip,Technicians and associate professionals,
2006,Male,Gaza Strip,Technicians and associate professionals,
2007,Male,Gaza Strip,Technicians and associate professionals,
2008,Male,Gaza Strip,Technicians and associate professionals,
2009,Male,Gaza Strip,Technicians and associate professionals,
2010,Male,Gaza Strip,Technicians and associate professionals,
2011,Male,Gaza Strip,Technicians and associate professionals,
2012,Male,Gaza Strip,Technicians and associate professionals,
2013,Male,Gaza Strip,Technicians and associate professionals,
2014,Male,Gaza Strip,Technicians and associate professionals,
2015,Male,Gaza Strip,Technicians and associate professionals,
2016,Male,Gaza Strip,Technicians and associate professionals,
2017,Male,Gaza Strip,Technicians and associate professionals,
2018,Male,Gaza Strip,Technicians and associate professionals,
2019,Male,Gaza Strip,Technicians and associate professionals,
2020,Male,Gaza Strip,Technicians and associate professionals,
2021,Male,Gaza Strip,Technicians and associate professionals,
2000,Male,Gaza Strip,Service and sales workers,
2001,Male,Gaza Strip,Service and sales workers,
2002,Male,Gaza Strip,Service and sales workers,
2003,Male,Gaza Strip,Service and sales workers,
2004,Male,Gaza Strip,Service and sales workers,
2005,Male,Gaza Strip,Service and sales workers,
2006,Male,Gaza Strip,Service and sales workers,
2007,Male,Gaza Strip,Service and sales workers,
2008,Male,Gaza Strip,Service and sales workers,
2009,Male,Gaza Strip,Service and sales workers,
2010,Male,Gaza Strip,Service and sales workers,
2011,Male,Gaza Strip,Service and sales workers,
2012,Male,Gaza Strip,Service and sales workers,
2013,Male,Gaza Strip,Service and sales workers,
2014,Male,Gaza Strip,Service and sales workers,
2015,Male,Gaza Strip,Service and sales workers,
2016,Male,Gaza Strip,Service and sales workers,
2017,Male,Gaza Strip,Service and sales workers,
2018,Male,Gaza Strip,Service and sales workers,
2019,Male,Gaza Strip,Service and sales workers,
2020,Male,Gaza Strip,Service and sales workers,
2021,Male,Gaza Strip,Service and sales workers,
2000,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2001,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2002,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2003,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2004,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2005,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2006,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2007,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2008,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2009,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2010,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2011,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2012,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2013,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2014,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2015,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2016,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2017,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2018,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2019,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2020,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2021,Male,Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2000,Male,Gaza Strip,Craft and related trades workers,
2001,Male,Gaza Strip,Craft and related trades workers,
2002,Male,Gaza Strip,Craft and related trades workers,
2003,Male,Gaza Strip,Craft and related trades workers,
2004,Male,Gaza Strip,Craft and related trades workers,
2005,Male,Gaza Strip,Craft and related trades workers,
2006,Male,Gaza Strip,Craft and related trades workers,
2007,Male,Gaza Strip,Craft and related trades workers,
2008,Male,Gaza Strip,Craft and related trades workers,
2009,Male,Gaza Strip,Craft and related trades workers,
2010,Male,Gaza Strip,Craft and related trades workers,
2011,Male,Gaza Strip,Craft and related trades workers,
2012,Male,Gaza Strip,Craft and related trades workers,
2013,Male,Gaza Strip,Craft and related trades workers,
2014,Male,Gaza Strip,Craft and related trades workers,
2015,Male,Gaza Strip,Craft and related trades workers,
2016,Male,Gaza Strip,Craft and related trades workers,
2017,Male,Gaza Strip,Craft and related trades workers,
2018,Male,Gaza Strip,Craft and related trades workers,
2019,Male,Gaza Strip,Craft and related trades workers,
2020,Male,Gaza Strip,Craft and related trades workers,
2021,Male,Gaza Strip,Craft and related trades workers,
2000,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2001,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2002,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2003,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2004,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2005,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2006,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2007,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2008,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2009,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2010,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2011,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2012,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2013,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2014,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2015,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2016,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2017,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2018,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2019,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2020,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2021,Male,Gaza Strip,"Plant and machine operators, and assemblers",
2000,Male,Gaza Strip,Elementary occupations,
2001,Male,Gaza Strip,Elementary occupations,
2002,Male,Gaza Strip,Elementary occupations,
2003,Male,Gaza Strip,Elementary occupations,
2004,Male,Gaza Strip,Elementary occupations,
2005,Male,Gaza Strip,Elementary occupations,
2006,Male,Gaza Strip,Elementary occupations,
2007,Male,Gaza Strip,Elementary occupations,
2008,Male,Gaza Strip,Elementary occupations,
2009,Male,Gaza Strip,Elementary occupations,
2010,Male,Gaza Strip,Elementary occupations,
2011,Male,Gaza Strip,Elementary occupations,
2012,Male,Gaza Strip,Elementary occupations,
2013,Male,Gaza Strip,Elementary occupations,
2014,Male,Gaza Strip,Elementary occupations,
2015,Male,Gaza Strip,Elementary occupations,
2016,Male,Gaza Strip,Elementary occupations,
2017,Male,Gaza Strip,Elementary occupations,
2018,Male,Gaza Strip,Elementary occupations,
2019,Male,Gaza Strip,Elementary occupations,
2020,Male,Gaza Strip,Elementary occupations,
2021,Male,Gaza Strip,Elementary occupations,
2000,Male,Gaza Strip,"Legislators, senior officials and managers",
2001,Male,Gaza Strip,"Legislators, senior officials and managers",
2002,Male,Gaza Strip,"Legislators, senior officials and managers",
2003,Male,Gaza Strip,"Legislators, senior officials and managers",
2004,Male,Gaza Strip,"Legislators, senior officials and managers",
2005,Male,Gaza Strip,"Legislators, senior officials and managers",
2006,Male,Gaza Strip,"Legislators, senior officials and managers",
2007,Male,Gaza Strip,"Legislators, senior officials and managers",
2008,Male,Gaza Strip,"Legislators, senior officials and managers",
2009,Male,Gaza Strip,"Legislators, senior officials and managers",
2010,Male,Gaza Strip,"Legislators, senior officials and managers",
2011,Male,Gaza Strip,"Legislators, senior officials and managers",
2012,Male,Gaza Strip,"Legislators, senior officials and managers",
2013,Male,Gaza Strip,"Legislators, senior officials and managers",
2014,Male,Gaza Strip,"Legislators, senior officials and managers",
2015,Male,Gaza Strip,"Legislators, senior officials and managers",
2016,Male,Gaza Strip,"Legislators, senior officials and managers",
2017,Male,Gaza Strip,"Legislators, senior officials and managers",
2018,Male,Gaza Strip,"Legislators, senior officials and managers",
2019,Male,Gaza Strip,"Legislators, senior officials and managers",
2020,Male,Gaza Strip,"Legislators, senior officials and managers",
2021,Male,Gaza Strip,"Legislators, senior officials and managers",
2000,Male,Palestine,Total or no breakdown by Occupation,79.6
2001,Male,Palestine,Total or no breakdown by Occupation,74.6
2002,Male,Palestine,Total or no breakdown by Occupation,74.8
2003,Male,Palestine,Total or no breakdown by Occupation,74.2
2004,Male,Palestine,Total or no breakdown by Occupation,75.9
2005,Male,Palestine,Total or no breakdown by Occupation,78.7
2006,Male,Palestine,Total or no breakdown by Occupation,83.4
2007,Male,Palestine,Total or no breakdown by Occupation,84.1
2008,Male,Palestine,Total or no breakdown by Occupation,90.6
2009,Male,Palestine,Total or no breakdown by Occupation,94.2
2010,Male,Palestine,Total or no breakdown by Occupation,94.6
2011,Male,Palestine,Total or no breakdown by Occupation,94.2
2012,Male,Palestine,Total or no breakdown by Occupation,94.8
2013,Male,Palestine,Total or no breakdown by Occupation,100.1
2014,Male,Palestine,Total or no breakdown by Occupation,105.7
2015,Male,Palestine,Total or no breakdown by Occupation,107.8
2016,Male,Palestine,Total or no breakdown by Occupation,113.7
2017,Male,Palestine,Total or no breakdown by Occupation,119.0
2018,Male,Palestine,Total or no breakdown by Occupation,128.6
2019,Male,Palestine,Total or no breakdown by Occupation,134.7
2020,Male,Palestine,Total or no breakdown by Occupation,137.1
2021,Male,Palestine,Total or no breakdown by Occupation,142.1
2000,Male,Palestine,Technicians and associate professionals,
2001,Male,Palestine,Technicians and associate professionals,
2002,Male,Palestine,Technicians and associate professionals,
2003,Male,Palestine,Technicians and associate professionals,
2004,Male,Palestine,Technicians and associate professionals,
2005,Male,Palestine,Technicians and associate professionals,
2006,Male,Palestine,Technicians and associate professionals,
2007,Male,Palestine,Technicians and associate professionals,
2008,Male,Palestine,Technicians and associate professionals,
2009,Male,Palestine,Technicians and associate professionals,
2010,Male,Palestine,Technicians and associate professionals,
2011,Male,Palestine,Technicians and associate professionals,
2012,Male,Palestine,Technicians and associate professionals,
2013,Male,Palestine,Technicians and associate professionals,
2014,Male,Palestine,Technicians and associate professionals,
2015,Male,Palestine,Technicians and associate professionals,
2016,Male,Palestine,Technicians and associate professionals,
2017,Male,Palestine,Technicians and associate professionals,
2018,Male,Palestine,Technicians and associate professionals,
2019,Male,Palestine,Technicians and associate professionals,
2020,Male,Palestine,Technicians and associate professionals,
2021,Male,Palestine,Technicians and associate professionals,
2000,Male,Palestine,Service and sales workers,
2001,Male,Palestine,Service and sales workers,
2002,Male,Palestine,Service and sales workers,
2003,Male,Palestine,Service and sales workers,
2004,Male,Palestine,Service and sales workers,
2005,Male,Palestine,Service and sales workers,
2006,Male,Palestine,Service and sales workers,
2007,Male,Palestine,Service and sales workers,
2008,Male,Palestine,Service and sales workers,
2009,Male,Palestine,Service and sales workers,
2010,Male,Palestine,Service and sales workers,
2011,Male,Palestine,Service and sales workers,
2012,Male,Palestine,Service and sales workers,
2013,Male,Palestine,Service and sales workers,
2014,Male,Palestine,Service and sales workers,
2015,Male,Palestine,Service and sales workers,
2016,Male,Palestine,Service and sales workers,
2017,Male,Palestine,Service and sales workers,
2018,Male,Palestine,Service and sales workers,
2019,Male,Palestine,Service and sales workers,
2020,Male,Palestine,Service and sales workers,
2021,Male,Palestine,Service and sales workers,
2000,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2001,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2002,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2003,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2004,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2005,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2006,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2007,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2008,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2009,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2010,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2011,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2012,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2013,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2014,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2015,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2016,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2017,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2018,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2019,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2020,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2021,Male,Palestine,"Skilled agricultural, forestry and fishery workers",
2000,Male,Palestine,Craft and related trades workers,
2001,Male,Palestine,Craft and related trades workers,
2002,Male,Palestine,Craft and related trades workers,
2003,Male,Palestine,Craft and related trades workers,
2004,Male,Palestine,Craft and related trades workers,
2005,Male,Palestine,Craft and related trades workers,
2006,Male,Palestine,Craft and related trades workers,
2007,Male,Palestine,Craft and related trades workers,
2008,Male,Palestine,Craft and related trades workers,
2009,Male,Palestine,Craft and related trades workers,
2010,Male,Palestine,Craft and related trades workers,
2011,Male,Palestine,Craft and related trades workers,
2012,Male,Palestine,Craft and related trades workers,
2013,Male,Palestine,Craft and related trades workers,
2014,Male,Palestine,Craft and related trades workers,
2015,Male,Palestine,Craft and related trades workers,
2016,Male,Palestine,Craft and related trades workers,
2017,Male,Palestine,Craft and related trades workers,
2018,Male,Palestine,Craft and related trades workers,
2019,Male,Palestine,Craft and related trades workers,
2020,Male,Palestine,Craft and related trades workers,
2021,Male,Palestine,Craft and related trades workers,
2000,Male,Palestine,"Plant and machine operators, and assemblers",
2001,Male,Palestine,"Plant and machine operators, and assemblers",
2002,Male,Palestine,"Plant and machine operators, and assemblers",
2003,Male,Palestine,"Plant and machine operators, and assemblers",
2004,Male,Palestine,"Plant and machine operators, and assemblers",
2005,Male,Palestine,"Plant and machine operators, and assemblers",
2006,Male,Palestine,"Plant and machine operators, and assemblers",
2007,Male,Palestine,"Plant and machine operators, and assemblers",
2008,Male,Palestine,"Plant and machine operators, and assemblers",
2009,Male,Palestine,"Plant and machine operators, and assemblers",
2010,Male,Palestine,"Plant and machine operators, and assemblers",
2011,Male,Palestine,"Plant and machine operators, and assemblers",
2012,Male,Palestine,"Plant and machine operators, and assemblers",
2013,Male,Palestine,"Plant and machine operators, and assemblers",
2014,Male,Palestine,"Plant and machine operators, and assemblers",
2015,Male,Palestine,"Plant and machine operators, and assemblers",
2016,Male,Palestine,"Plant and machine operators, and assemblers",
2017,Male,Palestine,"Plant and machine operators, and assemblers",
2018,Male,Palestine,"Plant and machine operators, and assemblers",
2019,Male,Palestine,"Plant and machine operators, and assemblers",
2020,Male,Palestine,"Plant and machine operators, and assemblers",
2021,Male,Palestine,"Plant and machine operators, and assemblers",
2000,Male,Palestine,Elementary occupations,
2001,Male,Palestine,Elementary occupations,
2002,Male,Palestine,Elementary occupations,
2003,Male,Palestine,Elementary occupations,
2004,Male,Palestine,Elementary occupations,
2005,Male,Palestine,Elementary occupations,
2006,Male,Palestine,Elementary occupations,
2007,Male,Palestine,Elementary occupations,
2008,Male,Palestine,Elementary occupations,
2009,Male,Palestine,Elementary occupations,
2010,Male,Palestine,Elementary occupations,
2011,Male,Palestine,Elementary occupations,
2012,Male,Palestine,Elementary occupations,
2013,Male,Palestine,Elementary occupations,
2014,Male,Palestine,Elementary occupations,
2015,Male,Palestine,Elementary occupations,
2016,Male,Palestine,Elementary occupations,
2017,Male,Palestine,Elementary occupations,
2018,Male,Palestine,Elementary occupations,
2019,Male,Palestine,Elementary occupations,
2020,Male,Palestine,Elementary occupations,
2021,Male,Palestine,Elementary occupations,
2000,Male,Palestine,"Legislators, senior officials and managers",
2001,Male,Palestine,"Legislators, senior officials and managers",
2002,Male,Palestine,"Legislators, senior officials and managers",
2003,Male,Palestine,"Legislators, senior officials and managers",
2004,Male,Palestine,"Legislators, senior officials and managers",
2005,Male,Palestine,"Legislators, senior officials and managers",
2006,Male,Palestine,"Legislators, senior officials and managers",
2007,Male,Palestine,"Legislators, senior officials and managers",
2008,Male,Palestine,"Legislators, senior officials and managers",
2009,Male,Palestine,"Legislators, senior officials and managers",
2010,Male,Palestine,"Legislators, senior officials and managers",
2011,Male,Palestine,"Legislators, senior officials and managers",
2012,Male,Palestine,"Legislators, senior officials and managers",
2013,Male,Palestine,"Legislators, senior officials and managers",
2014,Male,Palestine,"Legislators, senior officials and managers",
2015,Male,Palestine,"Legislators, senior officials and managers",
2016,Male,Palestine,"Legislators, senior officials and managers",
2017,Male,Palestine,"Legislators, senior officials and managers",
2018,Male,Palestine,"Legislators, senior officials and managers",
2019,Male,Palestine,"Legislators, senior officials and managers",
2020,Male,Palestine,"Legislators, senior officials and managers",
2021,Male,Palestine,"Legislators, senior officials and managers",
2000,Female,West Bank,Total or no breakdown by Occupation,
2001,Female,West Bank,Total or no breakdown by Occupation,
2002,Female,West Bank,Total or no breakdown by Occupation,
2003,Female,West Bank,Total or no breakdown by Occupation,
2004,Female,West Bank,Total or no breakdown by Occupation,
2005,Female,West Bank,Total or no breakdown by Occupation,
2006,Female,West Bank,Total or no breakdown by Occupation,
2007,Female,West Bank,Total or no breakdown by Occupation,
2008,Female,West Bank,Total or no breakdown by Occupation,
2009,Female,West Bank,Total or no breakdown by Occupation,
2010,Female,West Bank,Total or no breakdown by Occupation,
2011,Female,West Bank,Total or no breakdown by Occupation,
2012,Female,West Bank,Total or no breakdown by Occupation,
