Year,SEX,AREA,Series,Value
2011,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",22.8
2012,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",15.4
2013,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",16.2
2014,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",16.6
2015,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",16.3
2016,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",19.4
2017,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",15.7
2018,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",17.4
2019,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",20.2
2020,Female,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",
2000,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",25.9
2001,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",25.4
2002,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",20.5
2003,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",25.0
2004,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",22.9
2005,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",25.1
2006,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",24.0
2007,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",23.4
2008,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",20.6
2009,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",25.6
2010,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",26.7
2011,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",27.5
2012,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",13.2
2013,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",14.7
2014,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",16.2
2015,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",14.5
2016,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",19.2
2017,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",14.6
2018,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",14.6
2019,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",16.6
2020,,West Bank,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",21.5
2000,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",15.0
2001,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",13.7
2002,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",17.1
2003,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",19.6
2004,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",12.6
2005,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",15.9
2006,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",8.0
2007,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",10.5
2008,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",14.7
2009,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",17.5
2010,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",8.8
2011,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",14.2
2012,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",27.5
2013,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",21.4
2014,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",18.2
2015,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",22.4
2016,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",20.3
2017,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",19.6
2018,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",30.8
2019,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",38.9
2020,,Gaza Strip,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",25.5
2000,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",23.1
2001,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",23.0
2002,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",19.7
2003,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",23.7
2004,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",20.1
2005,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",22.0
2006,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",21.1
2007,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",18.4
2008,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",19.0
2009,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",23.0
2010,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",21.7
2011,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",22.8
2012,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",15.4
2013,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",16.2
2014,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",16.6
2015,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",16.3
2016,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",19.4
2017,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",15.7
2018,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",17.4
2019,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",20.2
2020,,Palestine,"Proportion of women in managerial positions by SEX, AREA and TIME PERIOD",22.2
