Year,SEX,AREA,Value
2009,Both sexes or no breakdown by sex,Tulkarm,
2010,Both sexes or no breakdown by sex,Tulkarm,
2011,Both sexes or no breakdown by sex,Tulkarm,
2017,Both sexes or no breakdown by sex,Tulkarm,15.5
2009,Both sexes or no breakdown by sex,Nablus,
2010,Both sexes or no breakdown by sex,Nablus,
2011,Both sexes or no breakdown by sex,Nablus,
2017,Both sexes or no breakdown by sex,Nablus,16.6
2009,Both sexes or no breakdown by sex,Qalqiliya,
2010,Both sexes or no breakdown by sex,Qalqiliya,
2011,Both sexes or no breakdown by sex,Qalqiliya,
2017,Both sexes or no breakdown by sex,Qalqiliya,20.7
2009,Both sexes or no breakdown by sex,Salfit,
2010,Both sexes or no breakdown by sex,Salfit,
2011,Both sexes or no breakdown by sex,Salfit,
2017,Both sexes or no breakdown by sex,Salfit,14.1
2009,Both sexes or no breakdown by sex,Ramallah & Al-Bireh,
2010,Both sexes or no breakdown by sex,Ramallah & Al-Bireh,
2011,Both sexes or no breakdown by sex,Ramallah & Al-Bireh,
2017,Both sexes or no breakdown by sex,Ramallah & Al-Bireh,9.7
2009,Both sexes or no breakdown by sex,Jericho & AL Aghwar,
2010,Both sexes or no breakdown by sex,Jericho & AL Aghwar,
2011,Both sexes or no breakdown by sex,Jericho & AL Aghwar,
2017,Both sexes or no breakdown by sex,Jericho & AL Aghwar,15.7
2009,Both sexes or no breakdown by sex,Bethlehem,
2010,Both sexes or no breakdown by sex,Bethlehem,
2011,Both sexes or no breakdown by sex,Bethlehem,
2017,Both sexes or no breakdown by sex,Bethlehem,9.4
2009,Both sexes or no breakdown by sex,Hebron,
2010,Both sexes or no breakdown by sex,Hebron,
2011,Both sexes or no breakdown by sex,Hebron,
2017,Both sexes or no breakdown by sex,Hebron,20.3
2009,Both sexes or no breakdown by sex,North Gaza,
2010,Both sexes or no breakdown by sex,North Gaza,
2011,Both sexes or no breakdown by sex,North Gaza,
2017,Both sexes or no breakdown by sex,North Gaza,51.2
2009,Both sexes or no breakdown by sex,Gaza,
2010,Both sexes or no breakdown by sex,Gaza,
2011,Both sexes or no breakdown by sex,Gaza,
2017,Both sexes or no breakdown by sex,Gaza,51.6
2009,Both sexes or no breakdown by sex,Dier Al-Balah,
2010,Both sexes or no breakdown by sex,Dier Al-Balah,
2011,Both sexes or no breakdown by sex,Dier Al-Balah,
2017,Both sexes or no breakdown by sex,Dier Al-Balah,55.6
2009,Both sexes or no breakdown by sex,Khan Yunis,
2010,Both sexes or no breakdown by sex,Khan Yunis,
2011,Both sexes or no breakdown by sex,Khan Yunis,
2017,Both sexes or no breakdown by sex,Khan Yunis,54.2
2009,Both sexes or no breakdown by sex,Rafah,
2010,Both sexes or no breakdown by sex,Rafah,
2011,Both sexes or no breakdown by sex,Rafah,
2017,Both sexes or no breakdown by sex,Rafah,55.7
