Year,SEX,AREA,Series,Value
2004,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",20.0
2005,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",16.8
2006,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",16.9
2007,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",15.4
2008,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",15.0
2009,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",12.9
2010,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",13.8
2011,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",11.8
2012,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",10.6
2013,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",12.1
2014,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",14.0
2015,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",12.8
2016,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",11.9
2017,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",16.1
2018,Male,Nablus,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",13.4
2000,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",18.2
2001,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",36.7
2002,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",30.8
2003,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",27.1
2004,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",24.2
2005,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",21.2
2006,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",16.1
2007,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",16.9
2008,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",22.6
2009,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",20.2
2010,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",18.5
2011,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",20.0
2012,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",20.1
2013,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",14.6
2014,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",10.9
2015,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",10.9
2016,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",10.1
2017,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",7.2
2018,Male,Qalqiliya,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",2.8
2000,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",18.8
2001,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",47.0
2002,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",34.4
2003,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",27.3
2004,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",21.7
2005,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",22.1
2006,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",18.2
2007,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",18.2
2008,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",19.5
2009,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",14.0
2010,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",12.7
2011,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",13.7
2012,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",13.5
2013,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.4
2014,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",13.8
2015,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",11.9
2016,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",13.9
2017,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",14.6
2018,Male,Salfit,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.6
2000,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",9.9
2001,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",28.4
2002,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",28.1
2003,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",21.8
2004,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",20.8
2005,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",16.2
2006,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",15.4
2007,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",15.7
2008,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.8
2009,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.3
2010,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",15.3
2011,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",15.5
2012,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",16.5
2013,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",16.6
2014,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",12.8
2015,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.5
2016,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",14.7
2017,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",15.5
2018,Male,Ramallah & Al-Bireh,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",14.4
2000,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",7.9
2001,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",12.8
2002,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",11.6
2003,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",9.2
2004,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",12.3
2005,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",13.0
2006,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",14.9
2007,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",7.8
2008,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",10.0
2009,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",8.6
2010,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",13.2
2011,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",11.9
2012,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",15.5
2013,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",14.9
2014,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",16.4
2015,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",12.4
2016,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",9.5
2017,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",12.3
2018,Male,Jericho & AL Aghwar,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",15.8
2000,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",12.4
2001,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.2
2002,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",31.0
2003,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",24.3
2004,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",25.1
2005,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",18.3
2006,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",14.8
2007,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",15.4
2008,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",12.2
2009,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",11.3
2010,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",11.3
2011,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",11.9
2012,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.3
2013,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",18.1
2014,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",16.8
2015,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",12.2
2016,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",15.6
2017,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",10.8
2018,Male,Jerusalem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",9.1
2000,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",10.4
2001,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",12.1
2002,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",22.7
2003,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",19.8
2004,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",23.2
2005,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",14.2
2006,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",13.8
2007,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",18.8
2008,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",23.0
2009,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",20.4
2010,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",20.2
2011,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",18.3
2012,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",20.2
2013,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",20.3
2014,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.7
2015,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",11.3
2016,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.9
2017,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.1
2018,Male,Bethlehem,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.8
2000,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",10.5
2001,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.0
2002,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",28.7
2003,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",23.3
2004,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",27.6
2005,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",27.9
2006,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",24.9
2007,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",23.9
2008,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",28.1
2009,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",23.2
2010,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",21.3
2011,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",19.7
2012,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",20.4
2013,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",21.6
2014,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",18.6
2015,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",18.1
2016,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",18.3
2017,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",19.0
2018,Male,Hebron,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.1
2000,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.0
2001,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",36.4
2002,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",38.6
2003,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",27.7
2004,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",37.5
2005,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",33.9
2006,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",39.7
2007,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",31.8
2008,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",40.4
2009,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",35.6
2010,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",34.7
2011,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",25.6
2012,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",29.6
2013,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",29.0
2014,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",39.6
2015,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",37.5
2016,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",37.8
2017,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",34.9
2018,Male,North Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",39.4
2000,Male,Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",17.1
2001,Male,Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",33.7
2002,Male,Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",36.6
2003,Male,Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",27.3
2004,Male,Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",32.9
2005,Male,Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",25.5
2006,Male,Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",33.2
2007,Male,Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",23.7
2008,Male,Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",37.2
2009,Male,Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",33.6
2010,Male,Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",33.5
2011,Male,Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",24.3
2012,Male,Gaza,"Unemployment rate, by sex, age and persons with disabilities by SEX, AREA and TIME PERIOD",23.7
