Year,AREA,Series,Value
2000,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,7.9
2001,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,7.0
2002,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,9.6
2003,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,9.0
2004,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,6.8
2005,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,7.4
2006,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,7.1
2007,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,5.6
2008,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,5.6
2009,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,7.5
2010,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,5.2
2011,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,0.0
2012,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,5.4
2013,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,7.6
2014,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,8.0
2015,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,8.1
2016,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,9.8
2017,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,6.5
2018,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,7.2
2019,Palestine,Proportion of medium and high-tech industry value added in total value added by AREA and TIME PERIOD,6.2
