Year,URBANISATION,SEX,AREA,Series,Value
2018,,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",39.2
2021,,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",27.3
2018,,,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",45.5
2021,,,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",29.7
2018,,,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",29.0
2021,,,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",25.0
2018,,,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",38.7
2021,,,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",27.8
2018,Urban,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",37.7
2021,Urban,,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",27.4
2018,Rural,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",46.3
2021,Rural,,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",31.1
2018,Camp,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",37.5
2021,Camp,,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (The political system in the country allows individuals like me to have an opinion on what the government is doing) by URBANISATION, SEX, AREA and TIME PERIOD",27.2
2018,Total,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Total,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Total,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Total,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Total,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",53.1
2021,Total,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",44.4
2018,Total,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Total,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Total,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Total,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Total,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",43.7
2021,Total,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",33.7
2018,Total,Both sexes or no breakdown by sex,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",49.6
2021,Total,Both sexes or no breakdown by sex,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",39.5
2018,Total,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",47.1
2021,Total,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",38.9
2018,Total,Both sexes or no breakdown by sex,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",48.6
2021,Total,Both sexes or no breakdown by sex,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",39.2
2018,Urban,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Both sexes or no breakdown by sex,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Both sexes or no breakdown by sex,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Urban,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Both sexes or no breakdown by sex,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",46.8
2021,Urban,Both sexes or no breakdown by sex,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",38.5
2018,Rural,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Both sexes or no breakdown by sex,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Both sexes or no breakdown by sex,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Rural,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Both sexes or no breakdown by sex,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",55.0
2021,Rural,Both sexes or no breakdown by sex,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",42.7
2018,Camp,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Male,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Male,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Male,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Female,West Bank,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2021,Camp,Female,Gaza Strip,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Female,Palestine,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group (I trust in my ability to participate in politics in the country) by URBANISATION, SEX, AREA and TIME PERIOD",
