Year,URBANISATION,SEX,AREA,Series,Value
2018,Camp,,Palestine,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",86.1
2018,,Male,West Bank,"Proportion of population satisfied with their last experience of public services (primary public schools) by SEX, AREA and TIME PERIOD",
2018,,Male,Gaza Strip,"Proportion of population satisfied with their last experience of public services (primary public schools) by SEX, AREA and TIME PERIOD",
2018,,Male,Palestine,"Proportion of population satisfied with their last experience of public services (primary public schools) by SEX, AREA and TIME PERIOD",88.7
2018,,Female,West Bank,"Proportion of population satisfied with their last experience of public services (primary public schools) by SEX, AREA and TIME PERIOD",
2018,,Female,Gaza Strip,"Proportion of population satisfied with their last experience of public services (primary public schools) by SEX, AREA and TIME PERIOD",
2018,,Female,Palestine,"Proportion of population satisfied with their last experience of public services (primary public schools) by SEX, AREA and TIME PERIOD",91.6
2018,,Both sexes or no breakdown by sex,West Bank,"Proportion of population satisfied with their last experience of public services (primary public schools) by SEX, AREA and TIME PERIOD",92.5
2018,,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population satisfied with their last experience of public services (primary public schools) by SEX, AREA and TIME PERIOD",86.9
2018,,Both sexes or no breakdown by sex,Palestine,"Proportion of population satisfied with their last experience of public services (primary public schools) by SEX, AREA and TIME PERIOD",90.2
2018,,Male,West Bank,"Proportion of population satisfied with their last experience of public services  (secondary public schools) by SEX, AREA and TIME PERIOD",
2018,,Male,Gaza Strip,"Proportion of population satisfied with their last experience of public services  (secondary public schools) by SEX, AREA and TIME PERIOD",
2018,,Male,Palestine,"Proportion of population satisfied with their last experience of public services  (secondary public schools) by SEX, AREA and TIME PERIOD",93.1
2018,,Female,West Bank,"Proportion of population satisfied with their last experience of public services  (secondary public schools) by SEX, AREA and TIME PERIOD",
2018,,Female,Gaza Strip,"Proportion of population satisfied with their last experience of public services  (secondary public schools) by SEX, AREA and TIME PERIOD",
2018,,Female,Palestine,"Proportion of population satisfied with their last experience of public services  (secondary public schools) by SEX, AREA and TIME PERIOD",95.5
2018,,Both sexes or no breakdown by sex,West Bank,"Proportion of population satisfied with their last experience of public services  (secondary public schools) by SEX, AREA and TIME PERIOD",95.9
2018,,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population satisfied with their last experience of public services  (secondary public schools) by SEX, AREA and TIME PERIOD",92.0
2018,,Both sexes or no breakdown by sex,Palestine,"Proportion of population satisfied with their last experience of public services  (secondary public schools) by SEX, AREA and TIME PERIOD",94.2
2018,,Male,West Bank,"Proportion of population satisfied with their last experience of public services (administrative services) by SEX, AREA and TIME PERIOD",
2018,,Male,Gaza Strip,"Proportion of population satisfied with their last experience of public services (administrative services) by SEX, AREA and TIME PERIOD",
2018,,Male,Palestine,"Proportion of population satisfied with their last experience of public services (administrative services) by SEX, AREA and TIME PERIOD",82.7
2018,,Female,West Bank,"Proportion of population satisfied with their last experience of public services (administrative services) by SEX, AREA and TIME PERIOD",
2018,,Female,Gaza Strip,"Proportion of population satisfied with their last experience of public services (administrative services) by SEX, AREA and TIME PERIOD",
2018,,Female,Palestine,"Proportion of population satisfied with their last experience of public services (administrative services) by SEX, AREA and TIME PERIOD",86.1
2018,,Both sexes or no breakdown by sex,West Bank,"Proportion of population satisfied with their last experience of public services (administrative services) by SEX, AREA and TIME PERIOD",87.3
2018,,Both sexes or no breakdown by sex,Gaza Strip,"Proportion of population satisfied with their last experience of public services (administrative services) by SEX, AREA and TIME PERIOD",80.3
2018,,Both sexes or no breakdown by sex,Palestine,"Proportion of population satisfied with their last experience of public services (administrative services) by SEX, AREA and TIME PERIOD",84.4
